,time,timer_time,moving,distance,gap_distance,watts,watts_calc,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
17,17,17,   true,71.6,90.7,   319,0,62,4.8,0.21297192642788,0.1722488038277512,51.365382000000004,-2.3733419999999996,26,129.2,129.14711917381587,-7.1,68.60185864494932,4.91989695291003,50,60,70,80,90,100,110,120,5.0,4.919896952910037,8.430947250000001,8.162973310466441,0.30000000000000426,0.1981382708570294
18,18,18,   true,76.6,95.1,   310,0,62,4.8,0.21113243761996164,0.17110266159695814,51.365362,-2.373408,26,128.6,129.17446377870274,-9.1,73.69506569806035,5.093207053111036,50,60,70,80,90,100,110,120,5.0,5.09320705311103,8.430947250000001,8.748206521875845,0.0,0.17331010020099313
19,19,19,   true,81.5,99.8,   310,28,62,4.8,0.20958083832335334,0.17061611374407584,51.365342999999996,-2.37347,26,128.6,129.20392240794942,-2.0,78.48994107834733,4.794875380286983,50,60,70,80,90,100,110,120,4.900000000000006,4.794875380286982,8.09708173890002,7.753378969034392,-0.09999999999999432,-0.29833167282404816
20,20,20,   true,86.3,104.9,   324,26,62,4.9,0.20854021847070506,0.17077798861480076,51.365324,-2.373533,26,128.6,129.23611657899946,2.1,83.34723671035957,4.857295632012245,50,60,70,80,90,100,110,120,4.799999999999997,4.857295632012239,7.769960985599992,7.95656174382848,-0.10000000000000853,0.062420251725257
21,21,21,   true,91.3,110.6,   324,187,63,4.9,0.20730503455083915,0.17110266159695814,51.365305,-2.373598,26,128.8,129.27285875470147,4.1,88.32992752190027,4.982690811540709,50,60,70,80,90,100,110,120,5.0,4.9826908115407065,8.430947250000001,8.37267514723523,0.20000000000000284,0.1253951795284678
22,22,22,   true,96.1,116.7,   306,156,63,4.9,0.20730503455083907,0.17175572519083973,51.365288,-2.373662,26,129.0,129.31425620014923,7.2,93.15851297693693,4.828585455036663,50,60,70,80,90,100,110,120,4.799999999999997,4.828585455036659,7.769960985599992,7.862781498199428,-0.20000000000000284,-0.1541053565040471
23,23,23,   true,101.0,123.4,   306,315,62,4.9,0.20750988142292487,0.1727447216890595,51.36527,-2.373725,26,129.4,129.36187647752396,8.3,97.96849082029037,4.809977843353438,50,60,70,80,90,100,110,120,4.900000000000006,4.809977843353437,8.09708173890002,7.802297665770272,0.10000000000000853,-0.018607611683222558
24,24,24,   true,105.8,130.5,   295,434,61,4.9,0.2081268582755203,0.17013232514177692,51.36525,-2.373786,26,130.0,129.41673475175634,10.4,102.75182386827824,4.783333047987865,50,60,70,80,90,100,110,120,4.799999999999997,4.783333047987867,7.769960985599992,7.71609567979803,-0.10000000000000853,-0.026644795365569962
25,25,25,   true,110.5,137.5,   331,298,60,4.8,0.20854021847070506,0.167487684729064,51.365231,-2.373847,26,130.4,129.47609110745802,10.5,107.48448508253598,4.732661214257746,50,60,70,80,90,100,110,120,4.700000000000003,4.732661214257746,7.449584990100011,7.553481970699816,-0.09999999999999432,-0.05067183373012085
26,26,26,   true,115.3,144.1,   328,448,61,4.8,0.2081268582755203,0.1648884578079534,51.365213,-2.373909,26,131.0,129.54179143681142,8.4,112.2314268319315,4.746941749395516,50,60,70,80,90,100,110,120,4.799999999999997,4.746941749395518,7.769960985599992,7.599135146457175,0.09999999999999432,0.014280535137771722
27,27,27,   true,120.1,150.3,   325,306,61,4.8,0.20854021847070506,0.16330451488952932,51.365196000000005,-2.373973,26,131.4,129.6105369807348,7.3,117.06002050029873,4.828593668367237,50,60,70,80,90,100,110,120,4.799999999999997,4.828593668367233,7.769960985599992,7.862808247101027,0.0,0.08165191897171553
28,28,28,   true,124.8,155.9,   325,161,62,4.8,0.20937188434695908,0.1622137404580153,51.365178,-2.374034,26,131.6,129.67913915381294,5.2,121.74410467304064,4.684084172741901,50,60,70,80,90,100,110,120,4.700000000000003,4.684084172741905,7.449584990100011,7.399216669009605,-0.09999999999999432,-0.14450949562532855
29,29,29,   true,129.6,161.6,   330,177,62,4.8,0.21235521235521235,0.16205910390848427,51.365159999999996,-2.3740959999999998,26,131.8,129.74983451535252,5.2,126.49105093976601,4.746946266725379,50,60,70,80,90,100,110,120,4.799999999999997,4.746946266725374,7.769960985599992,7.5991496095865845,0.09999999999999432,0.06286209398346898
30,30,30,   true,134.4,167.9,   334,170,62,4.8,0.2140077821011673,0.16083254493850518,51.365140999999994,-2.374158,26,132.0,129.82242049872823,7.3,131.2859433637754,4.794892424009394,50,60,70,80,90,100,110,120,4.800000000000011,4.79489242400939,7.769960985600037,7.753434088996125,1.4210854715202004e-14,0.04794615728401652
31,31,31,   true,139.2,174.7,   329,306,61,4.8,0.21484375,0.160075329566855,51.365123,-2.37422,26,132.4,129.9574742621691,9.5,136.03289278362558,4.746949419850179,50,60,70,80,90,100,110,120,4.799999999999983,4.746949419850182,7.769960985599946,7.599159704950537,-2.842170943040401e-14,-0.04794300415920816
32,32,32,   true,143.9,181.4,   346,432,62,4.8,0.21653543307086612,0.1608325449385052,51.365107,-2.374283,26,133.0,130.10764111422694,9.5,140.75467747483896,4.7217846912133865,50,60,70,80,90,100,110,120,4.700000000000017,4.721784691213372,7.449584990100055,7.518803293031565,-0.0999999999999659,-0.02516472863680974
33,33,33,   true,148.6,187.8,   348,439,62,4.8,0.21760633036597432,0.16159695817490494,51.36509,-2.374345,26,133.6,130.27307890224535,8.5,145.45582680121095,4.701149326371982,50,60,70,80,90,100,110,120,4.699999999999989,4.70114932637199,7.449584990099965,7.453228841740512,-2.842170943040401e-14,-0.020635364841382398
34,34,34,   true,153.4,193.8,   349,177,62,4.8,0.21934197407776668,0.16330451488952932,51.365072999999995,-2.3744080000000003,26,133.8,130.4412987349813,6.3,150.2206249030459,4.764798101834943,50,60,70,80,90,100,110,120,4.800000000000011,4.764798101834941,7.769960985600037,7.656413308834496,0.10000000000002274,0.06364877546295133
35,35,35,   true,158.1,199.2,   353,161,61,4.7,0.2207293666026872,0.16520894071914474,51.365055,-2.37447,25,134.0,130.61226647691677,4.3,154.96758011800392,4.746955214958029,50,60,70,80,90,100,110,120,4.699999999999989,4.746955214958035,7.449584990099965,7.599178259172658,-0.10000000000002274,-0.01784288687690605
36,36,36,   true,162.8,204.6,   353,168,61,4.7,0.22308438409311349,0.16569200779727095,51.365037,-2.37453,25,134.2,130.78594389627162,4.3,159.58900319933565,4.621423081331722,50,60,70,80,90,100,110,120,4.700000000000017,4.621423081331727,7.449584990100055,7.202575534854284,2.842170943040401e-14,-0.125532133626308
37,37,37,   true,167.3,209.8,   364,152,61,4.7,0.22549019607843135,0.16569200779727095,51.36502,-2.374589,25,134.4,130.96201916508883,4.4,164.10023909078026,4.511235891444624,50,60,70,80,90,100,110,120,4.5,4.511235891444613,6.829067272500001,6.8632123620913985,-0.20000000000001705,-0.11018718988711385
38,38,38,   true,171.9,216.3,   399,174,61,4.7,0.2286282306163022,0.1665034280117532,51.365004,-2.37465,25,134.6,131.1407007920173,9.2,168.69371363713753,4.593474546357258,50,60,70,80,90,100,110,120,4.599999999999994,4.593474546357271,7.135953752399983,7.1157223145070185,0.09999999999999432,0.0822386549126577
39,39,39,   true,176.3,222.9,   396,150,61,4.6,0.2318840579710145,0.1663405088062622,51.364989,-2.374709,25,134.8,131.3225189738355,10.6,173.11637762680314,4.422663989665604,50,60,70,80,90,100,110,120,4.400000000000006,4.422663989665608,6.528925550400017,6.596358548083359,-0.19999999999998863,-0.1708105566916629
40,40,40,   true,180.2,229.1,   392,650,61,4.4,0.23323615160349856,0.1678183613030602,51.364979,-2.374763,25,135.8,131.5329644423455,11.9,177.02677349086622,3.910395864063069,50,60,70,80,90,100,110,120,3.8999999999999773,3.9103958640630765,5.129388306899941,5.156770611782822,-0.5000000000000284,-0.5122681256025317
41,41,41,   true,184.3,235.7,   376,310,61,4.3,0.2348336594911937,0.16983016983016985,51.364967,-2.374818,25,136.2,131.75328702299066,12.0,181.07159725072407,4.044823759857849,50,60,70,80,90,100,110,120,4.100000000000023,4.044823759857849,5.668968930900064,5.517413969635848,0.20000000000004547,0.1344278957947722
42,42,42,   true,188.7,241.6,   391,321,61,4.3,0.2364532019704433,0.16999999999999998,51.364952,-2.374876,25,136.6,131.98316817748986,8.2,185.43004393834948,4.358446687625406,50,60,70,80,90,100,110,120,4.399999999999977,4.358446687625417,6.528925550399934,6.406190359355734,0.2999999999999545,0.31362292776756817
43,43,43,   true,192.9,247.0,   408,148,61,4.2,0.23785926660059464,0.16965127238454294,51.364938,-2.374933,25,136.8,132.2168599337622,7.1,189.68248039643066,4.252436458081169,50,60,70,80,90,100,110,120,4.200000000000017,4.252436458081178,5.948876379600049,6.098345550929867,-0.1999999999999602,-0.10601022954423911
44,44,44,   true,197.2,252.9,   393,306,61,4.2,0.2390438247011952,0.16881827209533268,51.364924,-2.37499,25,137.2,132.46050319751933,8.5,193.93491798002046,4.252437583589793,50,60,70,80,90,100,110,120,4.299999999999983,4.252437583589796,6.235528586099951,6.098348779075166,0.0999999999999659,1.1255086178607598e-06
45,45,45,   true,201.3,258.5,   397,146,61,4.2,0.2392344497607656,0.166177908113392,51.364909999999995,-2.375045,25,137.4,132.70768061687414,8.7,198.05845761456965,4.123539634549177,50,60,70,80,90,100,110,120,4.100000000000023,4.123539634549189,5.668968930900064,5.734251144100557,-0.1999999999999602,-0.12889794904060636
